State,Nuclear,Coal,Natural_Gas,Petroleum,Hydro,Geothermal,Solar_PV,Wind,Biomass_and_Other
Alabama,31.4,19.2,38.7,0.0,7.8,0.0,0.3,0.0,2.5
Alaska,0.0,10.6,49.9,14.4,22.0,0.0,0.0,2.4,0.6
Arizona,28.1,20.4,40.9,0.1,5.4,0.0,4.5,0.5,0.2
Arkansas,22.0,37.9,33.0,0.1,4.5,0.0,0.3,0.0,2.2
California,7.9,0.1,42.4,0.0,19.5,5.6,14.0,7.3,3.2
Colorado,0.0,45.1,30.4,0.0,2.5,0.0,2.1,19.4,0.4
Connecticut,41.7,0.1,52.8,0.2,1.3,0.0,0.4,0.0,3.3
Delaware,0.0,2.3,94.7,0.8,0.0,0.0,1.0,0.1,1.0
District of Columbia,0.0,0.0,27.1,0.0,0.0,0.0,15.1,0.0,57.8
Florida,11.8,9.1,74.3,0.1,0.1,0.0,1.6,0.0,3.1
Georgia,26.3,19.9,45.7,0.1,2.3,0.0,1.6,0.0,4.1
Hawaii,0.0,13.2,0.1,69.3,0.7,1.1,2.7,6.0,6.9
Idaho,0.0,0.1,21.1,0.0,55.4,0.4,3.3,16.2,3.4
Illinois,54.4,26.9,10.6,0.0,0.1,0.0,0.0,7.6,0.4
Indiana,0.0,56.7,35.9,0.1,0.2,0.0,0.3,6.0,0.7
Iowa,8.3,35.2,12.9,0.1,1.2,0.0,0.0,42.0,0.3
Kansas,17.8,33.4,7.0,0.1,0.0,0.0,0.0,41.4,0.1
Kentucky,0.0,72.7,20.8,0.1,5.6,0.0,0.1,0.0,0.7
Louisiana,13.8,10.4,72.0,0.0,1.1,0.0,0.0,0.0,2.6
Maine,0.0,0.8,15.9,0.3,30.8,0.0,0.1,23.8,28.3
Maryland,37.8,14.4,37.4,0.2,5.6,0.0,1.3,1.5,1.8
Massachusetts,9.8,0.0,71.6,0.6,2.9,0.0,5.3,1.0,8.8
Michigan,28.2,32.7,31.1,0.1,0.5,0.0,0.1,5.0,2.2
Minnesota,24.4,31.5,17.9,0.1,1.5,0.1,2.6,19.1,2.9
Mississippi,16.5,6.6,74.3,0.0,0.0,0.0,0.5,0.0,2.1
Missouri,12.0,72.8,9.6,0.1,1.4,0.0,0.1,3.8,0.1
Montana,0.0,53.9,2.0,0.1,34.7,0.6,0.1,8.6,0.1
Nebraska,18.7,54.7,3.3,0.1,3.1,0.0,0.1,19.9,0.2
Nevada,0.0,6.9,64.8,0.0,5.6,9.5,12.2,0.8,0.2
New Hampshire,60.8,1.9,20.0,0.2,6.9,0.0,0.0,2.3,8.1
New Jersey,37.4,1.6,57.3,0.1,0.1,0.0,1.7,0.0,2.0
New Mexico,0.0,41.8,34.1,0.1,0.4,0.2,3.9,19.5,0.0
New York,33.9,0.3,37.3,0.4,22.1,0.0,0.5,3.3,2.2
North Carolina,31.8,23.3,31.7,0.2,4.7,0.0,5.5,0.4,2.3
North Dakota,0.0,61.9,3.2,0.1,6.9,0.3,0.0,27.5,0.1
Ohio,14.2,39.8,43.2,0.1,0.2,0.0,0.1,1.7,0.6
Oklahoma,0.0,9.4,53.5,0.0,2.1,0.0,0.1,34.6,0.4
Oregon,0.0,4.1,33.9,0.0,47.4,0.2,1.1,11.5,1.8
Pennsylvania,36.0,16.8,42.8,0.1,1.5,0.0,0.0,1.5,1.3
Rhode Island,0.0,0.0,93.2,0.2,0.0,0.0,0.9,2.9,2.7
South Carolina,55.8,14.8,24.1,0.1,1.9,0.0,0.8,0.0,2.4
South Dakota,0.0,20.7,10.7,0.1,44.6,0.0,0.0,23.9,0.0
Tennessee,43.7,22.9,20.3,0.2,11.3,0.0,0.4,0.0,1.1
Texas,8.6,19.1,53.4,0.0,0.2,0.0,0.9,17.5,0.4
Utah,0.0,64.4,24.1,0.1,2.0,1.1,5.5,2.1,0.7
Vermont,0.0,0.0,0.1,0.1,54.9,0.0,8.0,17.6,19.4
Virginia,30.3,3.6,60.1,0.3,0.5,0.0,0.9,0.0,4.5
Washington,8.4,6.8,13.3,0.0,62.6,0.0,0.0,7.3,1.6
West Virginia,0.0,91.0,3.4,0.2,2.8,0.0,0.0,2.7,0.0
Wisconsin,16.0,42.1,33.7,0.1,3.2,0.0,0.1,2.6,2.2
Wyoming,0.0,84.3,3.2,0.1,2.0,0.0,0.4,9.8,0.2
