Country,Code,Year,Traditional_biomass,Hydro,Solar,Wind,Geo_Biomass_Other
Africa,,1965,,13.905635174733,0,0,0
Africa,,1966,,15.510004137511,0,0,0
Africa,,1967,,16.190636359103998,0,0,0
Africa,,1968,,18.938340564834,0,0,0
Africa,,1969,,22.100889620817,0,0,0
Africa,,1970,,27.630429815552002,0,0,0
Africa,,1971,,26.013390904094,0,0,0.16399999999999998
Africa,,1972,,29.633196415376002,0,0,0.165
Africa,,1973,,31.345707551533,0,0,0.17
Africa,,1974,,35.667074289357,0,0,0.175
Africa,,1975,,37.717969971158,0,0,0.172
Africa,,1976,,41.797633239816,0,0,0.185
Africa,,1977,,45.928768122531004,0,0,0.18899999999999997
Africa,,1978,,46.306938740575,0,0,0.195
Africa,,1979,,49.565232983879994,0,0,0.201
Africa,,1980,,48.311784355875304,0,0,0.207
Africa,,1981,,50.192906061870495,0,0,0.218
Africa,,1982,,50.2062371347722,0,0,0.23600000000000002
Africa,,1983,,45.247160061870495,0,0,0.23
Africa,,1984,,44.48997331942449,0,0,0.23399999999999999
Africa,,1985,,49.4496850519584,0,0,0.26899999999999996
Africa,,1986,,51.1453733013589,0,0,0.659
Africa,,1987,,49.0564603084245,0,0,0.6579999999999999
Africa,,1988,,53.5934563571399,0,0,0.626
Africa,,1989,,56.2762147671271,0,0,0.617
Africa,,1990,,57.254659123238,0,0,0.765731343269348
Africa,,1991,,60.651488412762006,0,0,0.7879999999999999
Africa,,1992,,57.8602916846068,0,0,0.824250000088655
Africa,,1993,,56.682507267930205,0,0.002,0.9157000000438058
Africa,,1994,,57.59604856711061,0,0.0054,0.82100000004172
Africa,,1995,,59.768876874666994,0,0.0063,1.02070000002295
Africa,,1996,,62.316458674204,0,0.0071,1.26009308793189
Africa,,1997,,63.8524975622244,0,0.0072,1.38864040821181
Africa,,1998,,66.6548878792364,0,0.0076,1.71454928559653
Africa,,1999,,70.6842613165359,0,0.0198,1.6961247989676598
Africa,,2000,,75.2458166169896,0.0131410000026226,0.17600000000000002,2.26906315789474
Africa,,2001,,80.8641147201386,0.0163599999945611,0.41608,2.3353526315789503
Africa,,2002,,85.1814681310532,0.0194710100715058,0.44458400000000003,2.2864
Africa,,2003,,82.8726014590169,0.0230290101063745,0.541199,2.6224
Africa,,2004,,87.4054692560565,0.0274610100035677,0.7692805050505049,2.9841
Africa,,2005,,89.0657341822671,0.0323760101699652,0.7823821111111109,3.0148
Africa,,2006,,92.24055300904051,0.04065700986245,0.8525656060606059,3.77529
Africa,,2007,,95.3405618110886,0.0533332930266589,1.0162233636393398,3.14685
Africa,,2008,,97.1572092517623,0.0751322020028171,1.3121781313131298,3.2714220000000003
Africa,,2009,,99.76113689631799,0.0981529272484478,1.5897309393954298,3.56272219
Africa,,2010,,107.42683264097401,0.213820750424688,2.28418243433914,3.829542064
Africa,,2011,,110.444821003428,0.452785300917026,2.53747293937963,3.9296566110000004
Africa,,2012,,110.95230022209,0.551142125598304,2.96173124049708,4.089949862
Africa,,2013,,117.67284641178301,0.824348140214048,3.55978430255575,4.438767925
